Company,Phelps Dodge,Charoong Thai Wire & Cable,Thai Yazaki,Bangkok Cable 
2019,10674.64,21830.48,13251.17,12635.99
2020,10378.69,26359.87,12635.99,9095.79
2021,15554.92,31149.93,11973.76,12541.06
2022,28074.42,24979.64,15066.46,11574.31
